values,ind
lian2,濂
suo3,鏁
"dun1,dui4",鐓
yang2,鸉
liu2,鶹
fu2,鵩
zhi4,鴙
yu3,圉
yao2,徭
an1,庵
yan2,闫
wei2,涠
ru2,濡
ou1,鏂
"xin2,tan2",鐔
bi4,鸊
ji2,鶺
"ya1,an1",鵪
ge1,鴚
huan2,圜
zhi3,徵
yu3,庾
wei2,闱
zhuo2,浞
pu2,濮
"zu2,chuo4",鏃
zan1,鐕
ning2,鸋
zhuo2,鵫
yuan1,鴛
wei2,帏
"jiao4,jiao3",徼
bi4,庳
hong2,闳
juan1,涓
bi4,濞
tuan2,鏄
"qi2,ji1",鐖
hu4,鸌
"qian1,jian1",鶼
peng2,鵬
ci2,鴜
zhi4,帙
qu2,衢
geng1,赓
min3,闵
cen2,涔
hao2,濠
"xiu4,xiu1",鏅
"jian3,jian1",鐗
mi2,鸍
sun3,鶽
qin2,鵭
qu2,鴝
pei4,帔
san1,彡
ao2,廒
kang1,闶
bang1,浜
zhuo2,濯
guan4,鏆
"zhong5,zhong1",鐘
ying1,鸎
han4,鶾
qian1,鵮
xiao1,鴞
tang3,帑
fan3,犭
jin3,廑
ta4,闼
xi1,浠
han4,瀚
xuan4,鏇
"deng4,deng1",鐙
meng2,鸏
ci2,鶿
bei1,鵯
chi1,鴟
"dao4,chou2",帱
qiu2,犰
chan2,廛
lv2,闾
mei3,浼
xie4,瀣
"lian4,lian2",鏈
ya1,鐚
di2,鸐
ci2,鷀
diao1,鵰
dan4,鴠
ze2,帻
an4,犴
xie4,廨
kun3,阃
huan4,浣
ying2,瀛
"shou4,sou1",鏉
ying3,鐛
yue4,鸑
yi4,鷁
lu4,鵱
ju1,鴡
guo2,帼
guang3,犷
lin3,廪
jiu1,阄
zhu3,渚
yue4,瀹
man3,鏋
"dun1,dui1",鐜
yu4,鸒
"yao4,yao2",鷂
que4,鵲
ma3,犸
ying1,膺
lang2,阆
qi2,淇
fen4,瀵
mo4,鏌
jue2,鐝
pian1,鶣
bo2,鵓
"jue2,gui1",鴃
ru2,鱬
lu1,噜
lou3,嵝
yu4,饫
chou2,惆
min2,錉
yang2,鍚
"hao4,gao3",鎬
kun1,鶤
jun4,鵔
pi3,鴄
ji4,鱭
ceng1,噌
zi1,嵫
chi4,饬
hu1,惚
huan2,洹
duan4,鍛
"zhen4,zhen1",鎭
mei2,鶥
jun4,鵕
huan1,鴅
"yu2,xu4",鱮
deng1,噔
mei2,嵋
yi2,饴
cui4,悴
wei3,洧
xia2,鍜
"zhen4,zhen1",鎮
hu2,鶦
bi1,鵖
zhen4,鴆
hu4,鱯
hao1,嚆
sheng4,嵊
xiang3,饷
yun4,愠
lie4,洌
yu2,鍝
"luo3,lang2",鎯
ying1,鶧
xi1,鵗
bao3,鴇
shu3,鱰
jin4,噤
song1,嵩
"bo1,bo5",饽
kui4,愦
jia1,浃
keng1,鍞
yi4,鎰
"zhi4,chuan4",鶨
jun4,鵘
yan4,鴈
li4,鱱
xue2,噱
ji2,嵴
yu2,馀
e4,愕
zhen1,浈
sheng1,鍟
yuan2,鎱
wu4,鶩
ju2,鵙
"ya3,ya1",鴉
"lie4,la4",鱲
yi1,噫
zhang4,嶂
hun2,馄
leng4,愣
yin1,洇
huang2,鍠
tang3,鎲
ju2,鶪
tu1,鵚
zheng4,鴊
"lu4,li4",鱳
sai1,噻
lin2,嶙
"zha5,cha1",馇
zhui4,惴
hui2,洄
wei3,鍡
nie4,鎳
jing1,鵛
"fang3,fang1",鴋
mie4,鱴
pi1,噼
deng4,嶝
sou1,馊
qiao3,愀
zhu1,洙
fu4,鍢
xi2,鎴
"qiang1,cang1",鶬
"ti2,ti1",鵜
feng4,鴌
zhen1,鱵
ru2,嚅
bin1,豳
mo2,馍
bi4,愎
ji4,洎
zhao1,鍣
jia1,鎵
fang3,鶭
e2,鵝
wen2,鴍
xiang3,鱶
cha1,嚓
